,Year,Value
0,2018,691859
1,2018,605766
2,2018,63509
3,2018,22583
4,2018,597623
5,2018,34223
6,2018,7124
7,2018,19863
8,2018,106351
9,2018,297
10,2018,1659
11,2018,418642
12,2018,9762
13,2018,59433
14,2018,63592
15,2018,98395
16,2018,2068648
17,2018,571177
18,2018,499274
19,2018,998194
20,2018,2068649
21,2018,700186
22,2018,740971
23,2018,627488
24,2018,376800
25,2018,53600
26,2018,77
27,2018,69
28,2018,14
29,2018,5
30,2018,34
31,2018,44753
32,2018,41108
33,2018,540
34,2018,12
35,2018,3093
36,2018,36651
37,2018,2860
38,2018,451
39,2018,1963
40,2018,5283
41,2018,0
42,2018,25638
43,2018,454
44,2018,14370
45,2018,14467
46,2018,8200
47,2018,171053
48,2018,33397
49,2018,97637
50,2018,40018
51,2018,171053
52,2018,80270
53,2018,29317
54,2018,61465
55,2018,395500
56,2018,72500
57,2018,114
58,2018,65
59,2018,10
60,2018,5
61,2018,47
62,2018,4432
63,2018,4119
64,2018,101
65,2018,211
66,2018,3579
67,2018,180
68,2018,33
69,2018,200
70,2018,744
71,2018,0
72,2018,2408
73,2018,14
74,2018,317
75,2018,317
76,2018,854
77,2018,13187
78,2018,2352
79,2018,8714
80,2018,2121
81,2018,13187
82,2018,6107
83,2018,3213
84,2018,3867
85,2018,179700
86,2018,34600
87,2018,73
88,2018,63
89,2018,14
90,2018,6
91,2018,46
92,2018,4432
93,2018,4119
94,2018,101
95,2018,211
96,2018,3579
97,2018,180
98,2018,33
99,2018,200
100,2018,744
101,2018,0
102,2018,2408
103,2018,14
104,2018,317
105,2018,317
106,2018,854
107,2018,13187
108,2018,2352
109,2018,8714
110,2018,2121
111,2018,13187
112,2018,6107
113,2018,3213
114,2018,3867
115,2018,179700
116,2018,34600
117,2018,73
118,2018,63
119,2018,14
120,2018,6
121,2018,46
122,2018,11555
123,2018,10812
124,2018,135
125,2018,608
126,2018,9867
127,2018,699
128,2018,178
129,2018,526
130,2018,998
131,2018,0
132,2018,7416
133,2018,50
134,2018,6246
135,2018,6393
136,2018,1835
137,2018,56454
138,2018,12803
139,2018,35858
140,2018,7793
141,2018,56454
142,2018,31056
143,2018,9333
144,2018,16065
145,2018,542300
146,2018,86100
147,2018,137
148,2018,69
149,2018,6
150,2018,3
151,2018,55
152,2018,11555
153,2018,10812
154,2018,135
155,2018,608
156,2018,9867
157,2018,699
158,2018,178
159,2018,526
160,2018,998
161,2018,0
162,2018,7416
163,2018,50
164,2018,6246
165,2018,6393
166,2018,1835
167,2018,56454
168,2018,12803
169,2018,35858
170,2018,7793
171,2018,56454
172,2018,31056
173,2018,9333
174,2018,16065
175,2018,542300
176,2018,86100
177,2018,137
178,2018,69
179,2018,6
180,2018,3
181,2018,55
182,2018,13537
183,2018,13011
184,2018,181
185,2018,345
186,2018,11658
187,2018,1568
188,2018,172
189,2018,633
190,2018,1442
191,2018,0
192,2018,7807
193,2018,35
194,2018,6521
195,2018,6388
196,2018,1746
197,2018,64724
198,2018,11749
199,2018,41237
200,2018,11738
201,2018,64724
202,2018,22473
203,2018,10558
204,2018,31693
205,2018,536400
206,2018,69200
207,2018,111
208,2018,51
209,2018,8
210,2018,3
211,2018,35
212,2018,13537
213,2018,13011
214,2018,181
215,2018,345
216,2018,11658
217,2018,1568
218,2018,172
219,2018,633
220,2018,1442
221,2018,0
222,2018,7807
223,2018,35
224,2018,6521
225,2018,6388
226,2018,1746
227,2018,64724
228,2018,11749
229,2018,41237
230,2018,11738
231,2018,64724
232,2018,22473
233,2018,10558
234,2018,31693
235,2018,536400
236,2018,69200
237,2018,111
238,2018,51
239,2018,8
240,2018,3
241,2018,35
242,2018,2111
243,2018,2028
244,2018,24
245,2018,59
246,2018,1868
247,2018,97
248,2018,14
249,2018,104
250,2018,274
251,2018,0
252,2018,1373
253,2018,6
254,2018,620
255,2018,655
256,2018,277
257,2018,6439
258,2018,1800
259,2018,3754
260,2018,885
261,2018,6439
262,2018,2734
263,2018,1619
264,2018,2086
265,2018,344600
266,2018,45200
267,2018,111
268,2018,71
269,2018,10
